id,distance,direction,area
183,14,315,707.25650632300
184,14,255,707.26728528200
185,15,225,758.48479807400
186,15,75,758.53860621500
187,15,135,758.56495277000
188,15,105,758.56574345000
189,15,45,758.58921792000
190,15,15,758.61731960600
191,15,195,758.63412868200
192,15,345,758.66984437800
193,15,315,758.72765374400
194,15,285,758.72880553700
195,15,255,758.75569838300
196,16,225,810.79896676200
197,16,75,810.84511499400
198,16,105,810.87404829100
199,16,135,810.87475129600
200,16,45,810.90091175000
201,16,15,810.93396337900
202,16,195,810.95573600400
203,16,345,810.99389477700
204,16,315,811.05915363900
205,16,285,811.06244838700
206,16,255,811.09107380800
207,17,105,864.08255501400
208,17,45,864.15979857900
209,17,195,864.32013118500
210,17,255,864.32843068600
211,17,315,864.34076352800
212,17,225,864.43434119100
213,17,15,864.43843463500
214,17,135,864.50255743900
215,17,345,864.50332969400
216,17,75,864.53725518300
217,17,165,864.59314642600
218,18,225,915.58915721000
219,18,105,915.59731075500
220,18,75,915.62359199600
221,18,45,915.63724791100
222,18,135,915.65216575900
223,18,15,915.71046965900
224,18,195,915.72593461800
225,18,345,915.78627916600
226,18,315,915.83925752000
227,18,255,915.87392063600
228,18,285,915.90056191500
229,19,105,967.90939876100
230,19,225,967.91438944200
231,19,75,967.93726226800
232,19,45,967.95362527900
233,19,135,967.96920464000
234,19,15,968.03463344600
235,19,195,968.05554624200
236,19,345,968.11927691100
237,19,315,968.17949261100
238,19,255,968.21847393600
239,19,285,968.24682086500
240,20,105,1020.22073198000
241,20,225,1020.24029023000
242,20,75,1020.25015995000
243,20,45,1020.26945164000
244,20,135,1020.28562000000
245,20,15,1020.35863230000
246,20,195,1020.38537183000
247,20,345,1020.45253703000
248,20,315,1020.52043405000
249,20,255,1020.56405306000
250,20,285,1020.59402321000
251,21,225,1073.74745918000
252,21,135,1073.76805203000
253,21,75,1073.84509471000
254,21,45,1073.99224514000
255,21,15,1074.08747563000
256,21,105,1074.11172432000
257,21,345,1074.18632633000
258,21,195,1074.19059563000
259,21,285,1074.20728628000
260,21,315,1074.27874941000
261,21,255,1074.50378336000
262,22,105,1124.99505457000
263,22,75,1124.99866854000
264,22,225,1125.00912546000
265,22,135,1125.03033604000
266,22,45,1125.03656880000
267,22,15,1125.14278858000
268,22,195,1125.18958872000
269,22,345,1125.25634889000
270,22,315,1125.34266539000
271,22,255,1125.41362315000
272,22,285,1125.41494883000
273,23,105,1177.31112423000
274,23,75,1177.31500840000
275,23,225,1177.34236285000
276,23,135,1177.35018859000
277,23,45,1177.35692372000
278,23,15,1177.47240482000
279,23,195,1177.52690799000
280,23,345,1177.59668494000
281,23,315,1177.69223154000
282,23,255,1177.76947909000
283,23,285,1177.77099231000
284,24,105,1229.62646731000
285,24,75,1229.63061299000
286,24,135,1229.66941430000
287,24,225,1229.67624070000
288,24,45,1229.67680296000
289,24,15,1229.80177974000
290,24,195,1229.86442013000
291,24,345,1229.93735902000
292,24,315,1230.04252770000
293,24,255,1230.12637227000
294,24,285,1230.12815714000
295,25,105,1281.94101005000
296,25,75,1281.94545509000
297,25,135,1281.98801862000
298,25,45,1281.99601257000
299,25,225,1282.01074270000
300,25,15,1282.13095417000
301,25,195,1282.20216841000
302,25,345,1282.27814690000
303,25,315,1282.39359165000
304,25,255,1282.48427264000
305,25,285,1282.48626986000
306,26,105,1335.94636579000
307,26,75,1335.94686661000
308,26,135,1336.05369500000
309,26,45,1336.06226590000
310,26,225,1336.09378827000
311,26,15,1336.15167149000
312,26,195,1336.23304455000
313,26,345,1336.30732727000
314,26,315,1336.49391968000
315,26,255,1336.53171427000
316,26,285,1336.53812588000
317,27,105,1386.70041475000
318,27,75,1386.70513346000
319,27,135,1386.76048224000
320,27,45,1386.76970677000
321,27,225,1386.81886773000
322,27,15,1386.92112010000
323,27,195,1387.01122524000
324,27,345,1387.09303409000
325,27,315,1387.23503065000
326,27,255,1387.33562104000
327,27,285,1387.33847392000
328,28,105,1439.01773273000
329,28,75,1439.02265301000
330,28,135,1439.08243693000
331,28,45,1439.09234714000
332,28,225,1439.16057605000
333,28,15,1439.25455435000
334,28,195,1439.35471731000
335,28,345,1439.43958174000
336,28,315,1439.59346859000
337,28,255,1439.70166378000
338,28,285,1439.70478145000
339,29,105,1491.33427335000
340,29,75,1491.33954379000
341,29,135,1491.40380652000
342,29,45,1491.41441585000
343,29,225,1491.50293010000
344,29,15,1491.58774129000
345,29,195,1491.69849104000
