temporal,date,id,mean_lst,distance,direction,area,use,temp_id,date_id,gradient_id,buffer_id,delta_T,delta_T_base,mean_lst_base
day,2022-12-03,121,37.52984434,9,75,445.040277329,prediction,1,1,1_1_75,1_75_9,-0.29709181000000484,-0.012676629999994304,34.97101305
day,2022-12-03,132,37.30020253,10,75,497.338930083,prediction,1,1,1_1_75,1_75_10,-0.22964180999999684,0.030416489999993246,35.00142954
day,2022-12-03,147,37.18773101,11,75,547.000708722,prediction,1,1,1_1_75,1_75_11,-0.11247151999999971,0.09736411000000089,35.09879365
day,2022-12-03,154,36.568012,12,75,601.521631113,prediction,1,1,1_1_75,1_75_12,-0.6197190099999972,-0.628661859999994,34.47013179
day,2022-12-03,165,36.25215499,13,75,653.822554947,prediction,1,1,1_1_75,1_75_13,-0.315857010000002,-0.2668716100000026,34.20326018
day,2022-12-03,175,36.23000747,14,75,706.911391158,prediction,1,1,1_1_75,1_75_14,-0.022147520000004306,-0.11246973000000082,34.09079045
day,2022-12-03,186,36.15752557,15,75,758.538606215,prediction,1,1,1_1_75,1_75_15,-0.07248189999999965,-0.07631752999999719,34.01447292
day,2022-12-03,197,36.45089132,16,75,810.845114994,prediction,1,1,1_1_75,1_75_16,0.29336574999999954,0.43355574999999646,34.44802867
day,2022-12-03,216,36.45564605,17,75,864.537255183,prediction,1,1,1_1_75,1_75_17,0.004754730000001928,0.1773452099999986,34.62537388
day,2022-12-03,220,35.27818372,18,75,915.623591996,prediction,1,1,1_1_75,1_75_18,-1.1774623299999973,-1.2661397999999977,33.35923408
day,2022-12-03,231,34.02849548,19,75,967.937262268,prediction,1,1,1_1_75,1_75_19,-1.2496882400000047,-1.251157339999999,32.10807674
day,2022-12-03,242,34.39312118,20,75,1020.25015995,prediction,1,1,1_1_75,1_75_20,0.3646257000000048,0.664074829999997,32.77215157
day,2022-12-03,253,34.39475748,21,75,1073.84509471,prediction,1,1,1_1_75,1_75_21,0.0016363000000012562,0.3059667899999994,33.07811836
day,2022-12-03,263,33.7555908,22,75,1124.99866854,prediction,1,1,1_1_75,1_75_22,-0.6391666800000024,-0.5864795600000008,32.4916388
day,2022-12-03,274,33.06069915,23,75,1177.3150084,prediction,1,1,1_1_75,1_75_23,-0.6948916500000024,-0.6936473899999953,31.79799141
day,2022-12-03,285,32.67544413,24,75,1229.63061299,prediction,1,1,1_1_75,1_75_24,-0.38525501999999534,-0.12390879000000155,31.67408262
