p_id,source,date,lst_pred
70,cws,27/12/2022,39.20659572
71,cws,27/12/2022,40.98352331
72,cws,27/12/2022,42.92925097
73,cws,27/12/2022,40.45063387
74,cws,27/12/2022,39.97810251
75,cws,27/12/2022,37.86689393
76,cws,27/12/2022,41.2833646
77,cws,27/12/2022,41.99716673
78,cws,27/12/2022,41.61961436
79,cws,27/12/2022,39.12334115
80,cws,27/12/2022,39.97732934
81,cws,27/12/2022,37.91309144
82,cws,27/12/2022,38.14719758
83,cws,27/12/2022,39.6062303
84,cws,27/12/2022,38.92243918
85,cws,27/12/2022,39.21122258
86,cws,27/12/2022,38.25080722
87,cws,27/12/2022,38.00598766
88,cws,27/12/2022,39.07937268
89,cws,27/12/2022,38.69501153
90,cws,27/12/2022,39.27885717
91,cws,27/12/2022,39.78487187
92,cws,27/12/2022,39.33211707
93,cws,27/12/2022,40.01189872
94,cws,27/12/2022,37.52129031
95,cws,27/12/2022,39.35314244
96,cws,27/12/2022,38.59762121
97,cws,27/12/2022,39.52990971
98,cws,27/12/2022,38.3983296
99,cws,27/12/2022,38.32437434
100,cws,27/12/2022,38.68237141
101,cws,27/12/2022,39.33549284
102,cws,27/12/2022,39.4398168
104,cws,27/12/2022,38.999605
105,cws,27/12/2022,39.76375922
106,cws,27/12/2022,38.89908705
107,cws,27/12/2022,38.62382312
108,cws,27/12/2022,38.96537875
109,cws,27/12/2022,38.65681481
110,cws,27/12/2022,38.02955833
111,cws,27/12/2022,39.34609824
112,cws,27/12/2022,39.94777214
113,cws,27/12/2022,37.81433003
116,cws,27/12/2022,38.02493976
8,cws,27/12/2022,39.90772242
6,cws,27/12/2022,37.76985928
4,cws,27/12/2022,39.06079712
3,cws,27/12/2022,38.72275038
19,cws,27/12/2022,40.77620288
1,cws,27/12/2022,39.8929868
118,cws,27/12/2022,39.63867737
119,cws,27/12/2022,38.37991616
120,cws,27/12/2022,36.10186568
122,cws,27/12/2022,37.90065342
121,cws,27/12/2022,39.25020427
123,cws,27/12/2022,38.65077067
124,cws,27/12/2022,39.04631702
125,cws,27/12/2022,38.62384634
126,cws,27/12/2022,38.15562567
127,cws,27/12/2022,36.82195961
128,cws,27/12/2022,38.23711397
130,cws,27/12/2022,39.05625014
131,cws,27/12/2022,39.06341861
132,cws,27/12/2022,39.09795483
133,cws,27/12/2022,38.22312247
134,cws,27/12/2022,35.97082645
135,cws,27/12/2022,38.73575956
136,cws,27/12/2022,38.80711438
137,cws,27/12/2022,36.50886333
140,cws,27/12/2022,36.35108227
141,cws,27/12/2022,36.75455542
142,cws,27/12/2022,38.89129165
143,cws,27/12/2022,39.3674983
144,cws,27/12/2022,38.23259767
145,cws,27/12/2022,39.62683418
146,cws,27/12/2022,39.30358953
147,cws,27/12/2022,37.3838106
148,cws,27/12/2022,37.50460766
149,cws,27/12/2022,36.50611264
151,cws,27/12/2022,34.15247036
152,cws,27/12/2022,36.63611071
153,cws,27/12/2022,39.70211051
154,cws,27/12/2022,-9999
155,cws,27/12/2022,41.49100204
156,cws,27/12/2022,40.39360047
157,cws,27/12/2022,39.74531154
158,cws,27/12/2022,38.96732786
159,cws,27/12/2022,41.79668463
160,cws,27/12/2022,41.07763668
161,cws,27/12/2022,42.73273861
162,cws,27/12/2022,39.65052639
163,cws,27/12/2022,36.45626901
164,cws,27/12/2022,34.10838209
165,cws,27/12/2022,37.51984866
166,cws,27/12/2022,38.24527582
167,cws,27/12/2022,38.17268134
168,cws,27/12/2022,38.3632475
169,cws,27/12/2022,39.52895434
170,cws,27/12/2022,38.3931624
171,cws,27/12/2022,37.80505528
173,cws,27/12/2022,39.84182569
174,cws,27/12/2022,36.70456036
400,prws,27/12/2022,36.00956793
200,prws,27/12/2022,39.43109587
600,prws,27/12/2022,41.72130393
500,prws,27/12/2022,38.05042706
300,prws,27/12/2022,38.51089437
1074,cws,27/12/2022,40.17886116
1084,cws,27/12/2022,-9999
1097,cws,27/12/2022,-9999
1217,cws,27/12/2022,37.52042604
1249,cws,27/12/2022,-9999
1256,cws,27/12/2022,35.4228206
1301,cws,27/12/2022,-9999
1365,cws,27/12/2022,37.88853741
138,cws,27/12/2022,33.93635667
139,cws,27/12/2022,37.37967282
1004,cws,27/01/2023,33.31805661
1010,cws,27/01/2023,31.22068271
1011,cws,27/01/2023,30.94059586
1016,cws,27/01/2023,28.78511259
1017,cws,27/01/2023,33.07320342
1026,cws,27/01/2023,28.95835764
1030,cws,27/01/2023,30.3142093
1031,cws,27/01/2023,32.41922185
1036,cws,27/01/2023,30.41630209
1039,cws,27/01/2023,29.68464379
1056,cws,27/01/2023,30.37361771
1067,cws,27/01/2023,30.47190002
1069,cws,27/01/2023,30.14646651
1077,cws,27/01/2023,31.06236781
1078,cws,27/01/2023,30.37474573
1085,cws,27/01/2023,30.02643124
1088,cws,27/01/2023,30.00458243
1093,cws,27/01/2023,31.33433566
1094,cws,27/01/2023,32.37832045
1099,cws,27/01/2023,32.10022239
1101,cws,27/01/2023,29.98877812
1104,cws,27/01/2023,30.57689531
1113,cws,27/01/2023,33.56835861
1114,cws,27/01/2023,35.61965155
1115,cws,27/01/2023,29.44538014
1116,cws,27/01/2023,26.24276591
1121,cws,27/01/2023,32.99777899
1122,cws,27/01/2023,30.54452218
1126,cws,27/01/2023,29.51887684
1130,cws,27/01/2023,32.5129219
1142,cws,27/01/2023,31.94400432
1144,cws,27/01/2023,34.79850248
1149,cws,27/01/2023,29.51459592
1154,cws,27/01/2023,29.08082167
1159,cws,27/01/2023,30.59889396
1160,cws,27/01/2023,30.69071052
1166,cws,27/01/2023,30.59076956
1168,cws,27/01/2023,31.25585076
1169,cws,27/01/2023,31.13009758
1180,cws,27/01/2023,36.24818942
1182,cws,27/01/2023,29.45450388
1185,cws,27/01/2023,33.49066062
1186,cws,27/01/2023,32.04149946
1188,cws,27/01/2023,29.57344355
1191,cws,27/01/2023,32.07524956
1192,cws,27/01/2023,29.43549386
1197,cws,27/01/2023,34.3495242
1203,cws,27/01/2023,34.03107507
1204,cws,27/01/2023,32.06774932
1209,cws,27/01/2023,30.70733892
1211,cws,27/01/2023,32.10888022
1215,cws,27/01/2023,34.53129512
1218,cws,27/01/2023,30.36249268
1219,cws,27/01/2023,29.40788718
1222,cws,27/01/2023,32.11107223
1227,cws,27/01/2023,32.60549736
1228,cws,27/01/2023,31.53834073
1229,cws,27/01/2023,33.18832604
1230,cws,27/01/2023,30.90364834
1235,cws,27/01/2023,36.13006086
